127.0.0.1 [03/Jul/2020:17:54:26.146] GET /home http 302 FOUND 245 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:54:26.169] GET /login http 200 OK 1999 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:54:26.401] GET /login http 200 OK 1819 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:54:54.843] POST /login http 200 OK 2025 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:54:58.891] POST /login http 302 FOUND 217 http://localhost:65010/login Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:54:58.903] GET /home http 200 OK 4433 http://localhost:65010/login Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:55:02.895] GET /reservations http 200 OK 16067 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:28:23.550] GET / http 200 OK 1819 None Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:28:49.157] POST /login http 302 FOUND 217 http://localhost:65010/ Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:28:49.211] GET /home http 200 OK 5203 http://localhost:65010/ Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:29:05.300] GET /reservations http 200 OK 15898 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:29:15.496] GET /reservations http 200 OK 15898 None Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:29:28.162] POST /new_reservation http 500 INTERNAL SERVER ERROR 290 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:39:54.036] POST /new_reservation http 302 FOUND 267 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:39:54.050] GET /login http 200 OK 1999 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:39:58.809] POST /login http 302 FOUND 217 http://localhost:65010/login?next=%2Fnew_reservation Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:39:58.821] GET /home http 200 OK 5203 http://localhost:65010/login?next=%2Fnew_reservation Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:40:00.074] GET /reservations http 200 OK 15897 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:40:23.886] POST /new_reservation http 302 FOUND 233 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:40:23.893] GET /reservations http 200 OK 16740 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:59:27.132] GET /reservations http 302 FOUND 261 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:59:27.147] GET /login http 200 OK 1999 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:59:27.298] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:59:27.470] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:59:27.635] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:59:31.716] POST /login http 302 FOUND 217 http://localhost:65010/login?next=%2Freservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:10:59:31.727] GET /home http 200 OK 5203 http://localhost:65010/login?next=%2Freservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:00:02.428] GET /reservations http 200 OK 15897 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:00:31.084] POST /new_reservation http 500 INTERNAL SERVER ERROR 290 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:01:20.231] POST /new_reservation http 302 FOUND 267 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:01:20.245] GET /login http 200 OK 1999 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:01:31.961] POST /login http 302 FOUND 217 http://localhost:65010/login?next=%2Fnew_reservation Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:01:31.972] GET /home http 200 OK 5203 http://localhost:65010/login?next=%2Fnew_reservation Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
