NVIDIA;GTX 1080 Ti;Pascal
NVIDIA;Tesla K40c;Kepler
NVIDIA;Tesla K20c;Kepler
NVIDIA;GTX 780 Ti;Kepler
NVIDIA;GTX 680;Kepler
NVIDIA;Titan Xp;Pascal
NVIDIA;GTX 1080;Pascal
NVIDIA;GTX 1070 Ti;Pascal
NVIDIA;GTX Titan X;Maxwell
NVIDIA;GTX 960;Maxwell
NVIDIA;GTX 980;Maxwell
NVIDIA;Titan V;Volta
AMD;Radeon Vega Frontier Edition;Vega
AMD;RX 5700 XT;Navi
